# file Status  time cplex  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -            -          -          -                1                -
2       Infeasible  -            -          -          -                1                -
3       Infeasible  -            -          -          -                1                -
4       -           -            -          -          -                1                -
45 8    -           54.43        0.02       135        135              -                0
45 9    -           396.71       0.01       155        155              -                0
46 10   -           902.30       0.02       228        -                -                0
46 11   -           902.94       0.03       237        -                -                0
46 12   -           904.32       0.02       243        -                -                0
46 13   -           905.79       0.02       235        -                -                0
46 14   -           906.09       0.02       258        -                -                0
46 15   -           907.87       0.05       364        -                -                0
46 2    -           0.05         0.00       14         14               -                0
46 3    -           0.53         0.01       38         38               -                0
46 4    -           1.45         0.01       60         60               -                0
46 5    -           6.69         0.01       86         86               -                0
46 6    -           12.91        0.01       104        104              -                0
46 7    -           34.32        0.02       112        112              -                0
46 8    -           88.98        0.02       135        135              -                0
46 9    -           222.41       0.01       155        155              -                0
47 10   -           902.85       0.02       228        -                -                0
47 11   -           903.23       0.02       237        -                -                0
47 12   -           904.49       0.03       243        -                -                0
47 13   -           905.89       0.02       235        -                -                0
47 14   -           906.42       0.03       258        -                -                0
47 15   -           907.32       0.05       364        -                -                0
47 2    -           0.05         0.01       14         14               -                0
47 3    -           0.66         0.01       38         38               -                0
47 4    -           1.10         0.01       60         60               -                0
47 5    -           8.56         0.01       86         86               -                0
47 6    -           11.38        0.01       104        104              -                0
47 7    -           51.26        0.01       112        112              -                0
47 8    -           61.48        0.02       135        135              -                0
47 9    -           902.40       0.01       155        -                -                0
48 10   -           902.87       0.03       228        -                -                0
48 11   -           903.76       0.03       237        -                -                0
48 12   -           904.50       0.04       243        -                -                0
48 13   -           906.38       0.02       235        -                -                0
48 14   -           906.81       0.03       258        -                -                0
48 15   -           909.63       0.06       364        -                -                0
48 2    -           0.05         0.01       14         14               -                0
48 3    -           0.47         0.01       38         38               -                0
48 4    -           1.08         0.01       60         60               -                0
48 5    -           9.33         0.01       86         86               -                0
48 6    -           13.34        0.01       104        104              -                0
48 7    -           65.67        0.02       112        112              -                0
48 8    -           54.72        0.02       135        135              -                0
48 9    -           902.65       0.02       155        -                -                0
49 10   -           902.61       0.02       228        -                -                0
49 11   -           904.11       0.03       237        -                -                0
49 12   -           904.77       0.03       243        -                -                0
49 13   -           906.34       0.02       235        -                -                0
49 14   -           907.51       0.02       258        -                -                0
49 15   -           908.75       0.05       364        -                -                0
49 2    -           0.06         0.01       14         14               -                0
49 3    -           0.55         0.01       38         38               -                0
49 4    -           1.17         0.01       60         60               -                0
49 5    -           8.80         0.01       86         86               -                0
49 6    -           27.96        0.01       104        104              -                0
49 7    -           85.02        0.02       112        112              -                0
49 8    -           133.43       0.02       135        135              -                0
49 9    -           261.88       0.01       155        155              -                0
50 10   -           903.38       0.04       228        -                -                0
50 11   -           904.33       0.02       237        -                -                0
50 12   -           905.37       0.04       243        -                -                0
50 13   -           907.05       0.02       235        -                -                0
